timestamp,site,line_id,sensor_id,temperature_c,vibration_mms,debit_uh
2026-04-14T19:21:43,Lyon,1,SLYO-L1-T01,77.92,5.539793028949028,101.27
2026-04-27T02:47:12,Lyon,1,SLYO-L1-T01,70.58,3.3617150805075067,110.19
2026-04-13T18:18:50,Saint-Etienne,1,SSAI-L1-T01,62.37,4.019277203412915,111.28
2026-04-05T10:34:03,Roubaix,2,SROU-L2-T01,66.17,4.922530999244968,123.93
2026-04-20T10:18:07,Saint-Etienne,3,SSAI-L3-T01,55.56,1.643043349954719,101.4
2026-04-17T02:45:42,Roubaix,4,SROU-L4-T01,48.88,5.0559754833463835,104.66
2026-04-05T08:08:11,Saint-Etienne,3,SSAI-L3-T01,63.22,4.104584986449023,105.92
2026-04-10T13:37:34,Lyon,1,SLYO-L1-T01,67.26,5.0184669813432246,103.09
2026-04-08T20:51:28,Roubaix,3,SROU-L3-T01,159.13,12.0,90.85
2026-04-03T10:33:22,Roubaix,1,SROU-L1-T01,68.77,3.28937856267799,90.65
2026-04-08T22:08:27,Lyon,1,SLYO-L1-T01,71.3,5.00235131589135,115.45
2026-04-18T21:00:25,Saint-Etienne,1,SSAI-L1-T01,54.61,,126.76
2026-04-22T16:47:44,Saint-Etienne,1,SSAI-L1-T01,65.81,4.337581435500521,134.2
2026-04-19T17:05:29,Roubaix,1,SROU-L1-T01,64.59,6.188641013532812,128.43
2026-04-15T08:43:14,Roubaix,4,SROU-L4-T01,70.04,7.282456633659076,114.7
2026-04-09T03:59:50,Roubaix,1,SROU-L1-T01,67.29,5.583087967148907,111.57
2026-04-27T20:50:05,Roubaix,3,SROU-L3-T01,151.17,12.0,115.55
2026-04-05T21:04:09,Saint-Etienne,2,SSAI-L2-T01,65.2,3.6850276978570116,134.24
2026-04-22T23:53:35,Saint-Etienne,3,SSAI-L3-T01,66.33,3.2736488172022113,127.43
2026-04-03T03:36:16,Saint-Etienne,2,SSAI-L2-T01,55.29,5.279578463016933,115.23
2026-04-02T02:24:43,Roubaix,3,SROU-L3-T01,144.3,12.0,115.03
2026-04-25T21:52:54,Saint-Etienne,3,SSAI-L3-T01,73.84,6.02842539726943,116.65
2026-04-19T03:24:40,Saint-Etienne,2,SSAI-L2-T01,75.84,3.8074885234069176,105.26
2026-04-21T16:16:30,Saint-Etienne,1,SSAI-L1-T01,55.58,3.3557898941878657,94.57
2026-04-05T04:32:36,Saint-Etienne,2,SSAI-L2-T01,60.38,6.056040359098858,127.62
2026-04-24T00:07:57,Saint-Etienne,3,SSAI-L3-T01,76.79,3.743877600963568,97.03
2026-04-04T21:43:52,Saint-Etienne,2,SSAI-L2-T01,76.47,4.188344749074203,123.52
2026-04-27T08:59:34,Saint-Etienne,2,SSAI-L2-T01,76.32,4.462113104065253,114.86
2026-04-14T16:39:26,Saint-Etienne,2,SSAI-L2-T01,63.82,3.772640311110966,85.11
2026-04-09T01:36:54,Saint-Etienne,1,SSAI-L1-T01,69.34,5.371924781414279,119.87
2026-04-22T06:16:49,Saint-Etienne,3,SSAI-L3-T01,70.31,4.981054945372983,108.28
2026-04-25T16:27:14,Roubaix,2,SROU-L2-T01,75.64,4.681711557488805,123.04
2026-04-16T00:07:34,Roubaix,4,SROU-L4-T01,77.35,5.186914117015296,112.31
2026-04-05T15:04:02,Saint-Etienne,1,SSAI-L1-T01,74.06,3.3835171011008534,121.14
2026-04-22T23:00:43,Saint-Etienne,2,SSAI-L2-T01,67.14,5.484294028429187,110.2
2026-04-27T12:21:38,Lyon,1,SLYO-L1-T01,65.96,2.517188991443926,127.92
2026-04-03T12:52:36,Roubaix,3,SROU-L3-T01,154.53,12.0,102.14
2026-04-21T17:12:48,Saint-Etienne,2,SSAI-L2-T01,65.17,2.61523030191726,104.64
2026-04-26T05:07:50,Saint-Etienne,1,SSAI-L1-T01,79.77,4.293880636033141,100.09
2026-04-07T10:19:16,Roubaix,3,SROU-L3-T01,142.35,12.0,112.75
2026-04-02T23:23:01,Saint-Etienne,2,SSAI-L2-T01,55.57,6.181289825427285,108.15
2026-04-12T23:21:08,Roubaix,3,SROU-L3-T01,153.82,12.0,126.82
2026-04-11T22:07:28,Saint-Etienne,1,SSAI-L1-T01,69.14,3.8949124107973043,101.84
2026-04-24T05:44:03,Lyon,1,SLYO-L1-T01,57.1,4.156115989223096,103.56
